uniprot_id,is_core,source
Q96P20,0,ferrdb
Q96PH1,0,ferrdb;ferreg
Q96PU5,0,ferrdb;ferreg
Q96QD8,0,ferrdb
Q96QT4,0,ferrdb
Q96RD6,0,ferrdb;ferreg
Q96RD7,0,ferrdb;ferreg
Q96RI1,0,ferrdb
Q96RR4,0,ferrdb
Q96S42,0,ferrdb
Q96SL4,0,ferrdb
Q96T37,0,ferrdb
Q96T88,0,ferrdb
Q99497,0,ferrdb;ferreg
Q99538,0,ferrdb;ferreg
Q99541,0,ferrdb;ferreg
Q99558,0,ferrdb;ferreg
Q99572,0,ferrdb
Q99612,0,ferrdb
Q99618,0,ferreg
Q99643,0,ferrdb
Q99811,0,ferreg
Q99814,0,ferrdb;ferreg
Q99873,0,ferrdb;ferreg
Q99952,0,ferrdb;ferreg
Q99969,0,ferrdb;ferreg
Q99988,0,ferrdb;ferreg
Q99988 ,0,ferrdb
Q9BPX6,0,ferrdb;ferreg
Q9BPZ7,0,ferrdb
Q9BQ90,0,ferrdb;ferreg
Q9BRK3,0,ferrdb
Q9BRT9,0,ferrdb;ferreg
Q9BTV4,0,ferrdb
Q9BUX1,0,ferrdb
Q9BVC4,0,ferrdb;ferreg
Q9BVK8,0,ferrdb
Q9BWD1,0,ferrdb
Q9BWH2,0,ferrdb
Q9BX46,0,ferrdb
Q9BX67,0,ferreg
Q9BXC0,0,ferrdb;ferreg
Q9BXI9,0,ferrdb
Q9BXJ7,0,ferreg
Q9BXM7,0,ferrdb
Q9BXU8,0,ferrdb
Q9BXW9,0,ferrdb;ferreg
Q9BY76,0,ferrdb
Q9BYJ1,0,ferrdb
Q9BYJ9,0,ferrdb;ferreg
Q9BYV9,0,ferrdb
Q9BYW2,0,ferrdb
Q9BZB8,0,ferrdb;ferreg
Q9BZK7,0,ferreg
Q9BZL6,0,ferrdb
Q9C009,0,ferrdb
Q9C029,0,ferrdb
Q9C030,0,ferrdb
Q9C098,0,ferrdb
Q9C0B1,0,ferrdb;ferreg
Q9C0C7,0,ferrdb
Q9GZU1,0,ferrdb
Q9GZV5,0,ferrdb;ferreg
Q9H093,0,ferrdb
Q9H0A0,0,ferrdb
Q9H0F6,0,ferrdb
Q9H0J9,0,ferrdb;ferreg
Q9H0R8,0,ferrdb;ferreg
Q9H0W8,0,ferrdb;ferreg
Q9H1A3,0,ferrdb
Q9H1K1,0,ferrdb;ferreg
Q9H2X9,0,ferrdb
Q9H300,0,ferrdb
Q9H3D4,0,ferrdb;ferreg
Q9H3M7,0,ferrdb
Q9H4W6,0,ferrdb
Q9H5J4,0,ferreg
Q9H6S0,0,ferrdb;ferreg
Q9H7Z7,0,ferrdb
Q9H857,0,ferrdb;ferreg
Q9H869,0,ferrdb;ferreg
Q9H8M1,0,ferrdb
Q9H936,0,ferrdb
Q9H9Z2,0,ferrdb
Q9HAU4,0,ferrdb
Q9HBH7,0,ferrdb;ferreg
Q9HBJ8,0,ferrdb;ferreg
Q9HBY0,0,ferrdb;ferreg
Q9HBY8,0,ferrdb
Q9HC23,0,ferrdb;ferreg
Q9HC24,0,ferrdb;ferreg
